3 0.10000002384185791 
250003 753.2999999523163 
500003 680.3999999761581 
750003 1076.2000000476837 
1000003 1451 
1250003 1971.3999999761581 
1500003 2311.899999976158 
1750003 3176.2999999523163 
2000003 3328.600000023842 
2250003 4477.600000023842 
2500003 4558.100000023842 
2750003 5286.200000047684 
3000003 4939.699999928474 
3250003 6224.699999928474 
3500003 6194.099999904633 
3750003 6483.399999976158 
4000003 5522.700000047684 
4250003 9145.699999928474 
4500003 9072.800000071526 
4750003 8693.599999904633 
5000003 9940.800000071526 
5250003 11143.5 
5500003 11344.299999952316 
5750003 11563.099999904633 
6000003 11362.399999976158 
6250003 12409.600000023842 
6500003 12979.5 
6750003 13510 
7000003 14038.600000023842 
7250003 15883.200000047684 
7500003 14675.199999928474 
7750003 15388.5 
8000003 15816.600000023842 
8250003 17052.100000023842 
8500003 16244.100000023842 
8750003 11757.700000047684 
9000003 17735.5 
9250003 20931.399999976158 
9500003 19597.199999928474 
9750003 22021.899999976158 
